date	posted_time	topic	content_theme	angle	hook_type	hook_text	word_count	line_count	has_numbers	has_question_cta	has_image	hashtag_count	lead_magnet_type	total_reactions	likes	insight_reactions	comments	reposts	engagement_score	comment_ratio	insight_ratio	scraped_at
2026-04-23	02:05					We're making a big change to the Copilot experience.	96	5	false	false	true	0		3920	3406	78	221	376	5335	0.0564	0.0199	2026-04-24
2026-04-22	21:19					Every agent will need its own computer. And with new Hosted agents in Foundry, every agent gets its own dedicated enterp	44	2	false	false	true	0		4734	4118	129	247	500	6475	0.0522	0.0272	2026-04-24
2026-04-21	01:27					Great to meet with the Beca team in Auckland and see how they are using Azure, Foundry, and their BEYON platform to make	65	3	false	false	true	0		2215	1947	15	173	131	2996	0.0781	0.0068	2026-04-24
2026-04-20	00:19					When it comes to Excel, Diarmuid Early is in a different league.	26	2	false	false	true	0		3893	3402	45	187	174	4802	0.048	0.0116	2026-04-24
2026-04-16	15:21					Our Fairwater datacenter in Wisconsin is going live, ahead of schedule.	42	3	false	false	false	0		898	715	12	98	110	1412	0.1091	0.0134	2026-04-24
2026-04-14	18:24					Live in Foundry today: MAI-Image-2-Efficient, 40% faster rendering than other top image generation models.	17	1	true	false	false	0		1070	942	12	59	71	1389	0.0551	0.0112	2026-04-24
2026-04-13	21:09					Need to step away or just want to continue working on a different device? You can now remote control GitHub Copilot CLI 	49	3	false	false	true	0		1104	969	16	54	137	1540	0.0489	0.0145	2026-04-24
2026-04-11	01:39					In GitHub Copilot CLI, you can now leverage a multi-model reflection loop as a reviewer.	25	2	false	false	false	0		1374	1205	65	99	115	1901	0.0721	0.0473	2026-04-24
2026-04-02	16:22					We’re bringing our growing MAI model family to every developer in Foundry, including …	48	5	true	false	true	0		5124	4450	72	288	423	6834	0.0562	0.0141	2026-04-24
2026-03-31	20:01					Excited to see Open to Work from my colleagues Ryan and Aneesh out in the world. Ryan told me months ago he wanted to wr	72	1	false	false	false	0		1384	1183	9	120	47	1838	0.0867	0.0065	2026-04-24
